time,time_ms,quality_sensor
2021-02-28 17:09:05,727,435.0
2021-02-28 17:09:06,1748,539.0
2021-02-28 17:09:07,2768,549.0
2021-02-28 17:09:08,3789,521.0
2021-02-28 17:09:09,4809,489.0
2021-02-28 17:09:10,5834,460.0
2021-02-28 17:09:11,6855,431.0
2021-02-28 17:09:12,7876,406.0
2021-02-28 17:09:13,8896,384.0
2021-02-28 17:09:14,9917,363.0
2021-02-28 17:09:15,10951,344.0
2021-02-28 17:09:16,11971,329.0
2021-02-28 17:09:17,12992,311.0
2021-02-28 17:09:18,14012,296.0
2021-02-28 17:09:19,15038,284.0
2021-02-28 17:09:20,16058,274.0
2021-02-28 17:09:21,17076,263.0
2021-02-28 17:09:22,18094,255.0
2021-02-28 17:09:23,19111,248.0
2021-02-28 17:09:24,20132,239.0
2021-02-28 17:09:25,21150,233.0
2021-02-28 17:09:27,22168,227.0
2021-02-28 17:09:28,23186,221.0
2021-02-28 17:09:29,24203,216.0
2021-02-28 17:09:30,25224,209.0
2021-02-28 17:09:31,26242,202.0
2021-02-28 17:09:32,27260,198.0
2021-02-28 17:09:33,28277,194.0
2021-02-28 17:09:34,29295,193.0
2021-02-28 17:09:35,30316,185.0
2021-02-28 17:09:36,31334,180.0
2021-02-28 17:09:37,32351,176.0
2021-02-28 17:09:38,33369,174.0
2021-02-28 17:09:39,34398,169.0
2021-02-28 17:09:40,35415,167.0
2021-02-28 17:09:41,36432,165.0
2021-02-28 17:09:42,37450,163.0
2021-02-28 17:09:43,38467,161.0
2021-02-28 17:09:44,39488,158.0
2021-02-28 17:09:45,40506,157.0
2021-02-28 17:09:46,41524,156.0
2021-02-28 17:09:47,42541,154.0
2021-02-28 17:09:48,43559,151.0
2021-02-28 17:09:49,44580,148.0
2021-02-28 17:09:50,45598,149.0
2021-02-28 17:09:51,46615,147.0
2021-02-28 17:09:52,47633,146.0
2021-02-28 17:09:53,48651,144.0
2021-02-28 17:09:54,49672,142.0
2021-02-28 17:09:55,50690,140.0
2021-02-28 17:09:56,51708,140.0
2021-02-28 17:09:57,52725,137.0
2021-02-28 17:09:58,53747,138.0
2021-02-28 17:09:59,54764,135.0
2021-02-28 17:10:00,55782,134.0
2021-02-28 17:10:01,56800,133.0
2021-02-28 17:10:02,57818,132.0
2021-02-28 17:10:03,58839,131.0
2021-02-28 17:10:04,59857,130.0
2021-02-28 17:10:05,60874,128.0
2021-02-28 17:10:06,61892,126.0
2021-02-28 17:10:07,62910,128.0
2021-02-28 17:10:08,63931,126.0
2021-02-28 17:10:09,64949,124.0
2021-02-28 17:10:10,65967,122.0
2021-02-28 17:10:11,66984,121.0
