time,altitude_cm,pressure_pa,temperature_c
2021-02-22 08:00:00,10179.0,100107.0,22.84
2021-02-22 08:00:01,10120.0,100120.0,22.83
2021-02-22 08:00:02,10154.0,100110.0,22.8
2021-02-22 08:00:03,9382.0,100197.0,22.81
2021-02-22 08:00:04,9038.0,100203.0,22.78
2021-02-22 08:00:04,8794.0,100266.0,22.77
2021-02-22 08:00:00,8819.0,100259.0,22.25
2021-02-22 08:00:01,7594.0,100469.0,22.3
2021-02-22 08:00:02,9046.0,100279.0,22.3
2021-02-22 08:00:03,9306.0,100214.0,22.34
2021-02-22 08:00:04,9239.0,100197.0,22.37
2021-02-22 08:00:04,9273.0,100218.0,22.42
2021-02-22 08:00:05,9911.0,100041.0,22.35
2021-02-22 08:00:06,10800.0,100012.0,22.39
2021-02-22 08:00:07,11111.0,99994.0,22.45
2021-02-22 08:00:08,11086.0,100017.0,22.53
2021-02-22 08:00:09,11128.0,100016.0,22.61
2021-02-22 08:00:10,11094.0,100011.0,22.7
2021-02-22 08:00:11,10246.0,100143.0,22.8
2021-02-22 08:00:11,10859.0,100025.0,22.79
2021-02-22 08:00:12,10523.0,100076.0,22.85
2021-02-22 08:00:13,10364.0,100073.0,22.95
2021-02-22 08:00:14,10507.0,100075.0,23.04
2021-02-22 08:00:15,10548.0,100058.0,23.12
2021-02-22 08:00:16,10548.0,100062.0,23.22
2021-02-22 08:00:17,10087.0,100103.0,23.3
2021-02-22 08:00:17,10381.0,100091.0,23.28
2021-02-22 08:00:18,10230.0,100101.0,23.28
2021-02-22 08:00:19,10179.0,100107.0,23.27
2021-02-22 08:00:20,11228.0,100064.0,23.21
2021-02-22 08:00:21,10700.0,100048.0,23.15
2021-02-22 08:00:22,11438.0,100056.0,23.11
2021-02-22 08:00:23,10255.0,100103.0,22.99
2021-02-22 08:00:24,10196.0,100105.0,22.94
2021-02-22 08:00:24,9986.0,100141.0,22.9
2021-02-22 08:00:25,10104.0,100099.0,22.88
2021-02-22 08:00:26,10112.0,100227.0,22.87
