time_ms,co2_V
979,0.4
1753,0.46
2528,0.49
3302,0.65
4077,0.75
4851,0.82
5626,0.89
6400,0.96
7175,1.02
7949,1.07
8723,1.1
9498,1.15
10277,1.14
11052,1.15
11827,1.12
12601,1.09
13375,1.08
14147,1.07
14919,1.08
15690,1.12
16462,1.19
17234,1.23
18005,1.3
18780,1.34
19552,1.38
20324,1.42
21095,1.46
21866,1.49
22637,1.51
23408,1.53
24178,1.56
24950,1.57
25721,1.58
26492,1.6
27266,1.6
28037,1.61
28808,1.62
29579,1.63
30350,1.64
31121,1.66
31892,1.65
32663,1.65
33433,1.66
34205,1.65
34976,1.66
35750,1.66
36521,1.65
37292,1.66
38063,1.66
38834,1.67
39605,1.66
40376,1.66
41147,1.66
41918,1.66
42689,1.67
43460,1.66
44229,1.67
44999,1.67
45770,1.66
46541,1.67
47313,1.67
48083,1.66
48854,1.67
49625,1.67
50396,1.67
51167,1.67
51938,1.67
52713,1.65
53484,1.65
54255,1.66
55025,1.65
55796,1.66
56568,1.66
57339,1.66
58109,1.66
58880,1.65
59651,1.65
60422,1.65
61193,1.66
61968,1.66
62739,1.65
63509,1.66
64280,1.65
65051,1.65
65822,1.65
66593,1.65
67364,1.66
68135,1.66
68905,1.65
69676,1.66
70451,1.66
71222,1.65
71993,1.66
72763,1.65
73534,1.65
74306,1.65
75076,1.65
75847,1.65
76618,1.64
77389,1.64
78160,1.64
78935,1.64
79706,1.64
80477,1.62
81248,1.63
82019,1.61
82790,1.61
83561,1.62
84332,1.63
85103,1.63
85874,1.63
86645,1.62
87420,1.64
88191,1.63
88962,1.62
89733,1.63
90504,1.63
91275,1.64
92046,1.63
92817,1.63
93588,1.63
94359,1.62
95130,1.64
95905,1.62
96676,1.62
97447,1.61
98218,1.61
98989,1.6
99760,1.6
100531,1.61
101302,1.6
102073,1.62
102844,1.6
103615,1.6
104390,1.6
105161,1.6
105932,1.6
106703,1.58
107474,1.59
108245,1.59
109016,1.59
109788,1.59
110559,1.58
111330,1.58
112101,1.58
112875,1.59
113646,1.59
114417,1.58
115188,1.58
115959,1.58
116730,1.58
117501,1.58
118273,1.57
119044,1.57
119815,1.58
120586,1.57
121360,1.57
122131,1.58
122903,1.57
123674,1.57
124445,1.57
125216,1.57
125987,1.57
126758,1.58
127529,1.57
128300,1.56
129071,1.57
129845,1.57
130616,1.58
131388,1.58
132158,1.57
132929,1.56
133700,1.58
134471,1.56
135242,1.57
136013,1.57
136784,1.57
137555,1.57
138330,1.58
139101,1.57
139871,1.58
140643,1.57
141414,1.56
142185,1.57
142956,1.56
143727,1.57
144498,1.56
145269,1.56
146040,1.56
146815,1.56
147586,1.54
148357,1.56
149128,1.55
149899,1.56
150671,1.57
151442,1.55
152213,1.56
152984,1.55
153755,1.57
154530,1.56
155301,1.55
156072,1.56
156843,1.55
157614,1.55
158386,1.54
159157,1.55
159928,1.55
160699,1.55
161470,1.54
162241,1.55
163016,1.55
163787,1.56
164558,1.56
165329,1.56
166100,1.56
166872,1.57
167643,1.55
168414,1.57
169185,1.56
169956,1.58
170727,1.58
171502,1.58
172273,1.58
173044,1.57
173816,1.56
174587,1.56
175358,1.56
176129,1.56
176900,1.57
177671,1.57
178442,1.57
179213,1.57
179989,1.58
180760,1.57
181531,1.58
182302,1.56
183073,1.57
183844,1.56
184615,1.54
185386,1.55
186158,1.56
186929,1.57
187700,1.56
188474,1.55
189246,1.55
190017,1.55
190788,1.58
191559,1.68
192330,1.64
193101,1.6
193873,1.62
194644,1.6
195415,1.61
196186,1.6
196961,1.6
197732,1.59
198503,1.6
199274,1.6
200045,1.59
200816,1.6
201587,1.59
202358,1.59
203129,1.62
203900,1.62
204671,1.61
205446,1.62
206216,1.6
206987,1.63
207758,1.64
208528,1.63
209299,1.63
210069,1.65
210840,1.64
211611,1.63
212382,1.61
213152,1.6
213926,1.6
214697,1.61
215468,1.58
216239,1.59
217009,1.59
217780,1.59
218551,1.6
219321,1.59
220092,1.58
220863,1.58
221634,1.59
222408,1.58
223179,1.58
223949,1.58
224720,1.58
225491,1.58
226262,1.59
227032,1.61
227803,1.62
228574,1.62
229345,1.6
230116,1.61
230890,1.59
231660,1.58
232431,1.59
233202,1.61
233973,1.62
234744,1.62
235514,1.61
236285,1.61
237056,1.6
237826,1.6
238601,1.59
239372,1.58
240142,1.58
240913,1.58
241684,1.57
242455,1.57
243225,1.56
243996,1.58
244767,1.58
245537,1.56
246308,1.55
247077,1.56
247848,1.55
248618,1.54
249389,1.54
250160,1.55
250930,1.54
251702,1.53
252472,1.53
253243,1.54
254014,1.53
254784,1.52
255558,1.54
256329,1.53
257100,1.53
257871,1.53
258642,1.51
259412,1.52
260183,1.54
260954,1.53
261725,1.54
262495,1.54
263266,1.53
264040,1.53
264811,1.54
265582,1.53
266352,1.54
267123,1.56
267893,1.54
268664,1.54
269435,1.52
270206,1.52
270976,1.52
271747,1.51
272521,1.51
273291,1.5
274067,1.51
274837,1.51
275608,1.51
276379,1.5
277149,1.51
277920,1.51
278691,1.51
279462,1.49
280232,1.5
281006,1.51
281777,1.5
282548,1.51
283319,1.5
284090,1.5
284861,1.52
285631,1.53
286402,1.51
287173,1.52
287944,1.5
288715,1.5
289489,1.5
290260,1.5
291031,1.5
291802,1.5
292573,1.51
293343,1.49
294114,1.5
294885,1.5
295656,1.5
296427,1.49
297198,1.51
297972,1.51
298743,1.5
299514,1.5
300285,1.5
301056,1.5
301826,1.5
302597,1.49
303368,1.5
304139,1.5
304910,1.5
305681,1.5
306455,1.5
307226,1.49
307996,1.5
308767,1.49
309538,1.49
310309,1.51
311080,1.5
311851,1.5
312621,1.5
313392,1.5
314167,1.5
314938,1.49
315708,1.49
316479,1.5
317250,1.5
318021,1.5
318792,1.51
319563,1.51
320333,1.5
321104,1.49
321875,1.49
322650,1.5
323420,1.5
324191,1.51
324962,1.51
325733,1.51
326504,1.52
327275,1.51
328045,1.52
328816,1.52
329587,1.52
330358,1.51
331132,1.51
331903,1.51
332674,1.51
333444,1.5
334215,1.51
334986,1.51
335757,1.51
336527,1.51
337298,1.5
338069,1.51
338840,1.5
339614,1.51
340385,1.52
341156,1.51
341926,1.51
342697,1.5
343468,1.5
344239,1.51
345010,1.5
345781,1.51
346552,1.5
347323,1.51
348097,1.5
348868,1.5
349639,1.5
350410,1.5
351181,1.5
351952,1.5
352723,1.5
353494,1.5
354265,1.51
355036,1.5
355807,1.5
356581,1.5
357352,1.49
358123,1.49
358894,1.5
359665,1.49
360436,1.49
361207,1.5
361978,1.5
362749,1.49
363520,1.49
364291,1.5
365066,1.5
365836,1.5
366608,1.5
367379,1.5
368150,1.5
368920,1.5
369691,1.5
370462,1.5
371234,1.5
372004,1.5
372775,1.5
373550,1.5
374321,1.51
375092,1.5
375863,1.5
376634,1.5
377405,1.5
378176,1.5
378947,1.5
379718,1.5
380489,1.49
381260,1.5
382034,1.5
382805,1.5
383576,1.49
384347,1.5
385118,1.5
385889,1.49
386660,1.49
387431,1.49
388202,1.49
388973,1.49
389748,1.49
390519,1.5
391290,1.49
392060,1.49
392831,1.49
393603,1.49
394374,1.49
395145,1.49
395915,1.48
396686,1.49
397457,1.5
398232,1.51
399003,1.49
399774,1.5
400545,1.5
401315,1.5
402087,1.49
402857,1.49
403628,1.49
404399,1.49
405170,1.5
405941,1.5
406715,1.5
407486,1.49
408257,1.5
409028,1.49
409799,1.49
410570,1.5
411341,1.5
412112,1.5
412883,1.5
413654,1.5
414425,1.5
415200,1.51
415971,1.5
416742,1.5
417513,1.5
418284,1.5
419055,1.5
419826,1.49
420597,1.5
421368,1.5
422139,1.5
422910,1.5
423685,1.5
424456,1.5
425227,1.5
425998,1.5
426769,1.49
427540,1.5
428311,1.5
429082,1.5
429853,1.5
430624,1.5
431395,1.5
432170,1.5
432941,1.5
433712,1.5
434483,1.5
435254,1.49
436025,1.5
436796,1.49
437568,1.52
438339,1.5
439110,1.51
439881,1.51
440655,1.51
441426,1.5
442198,1.49
442969,1.49
443740,1.48
444511,1.5
445282,1.49
446053,1.49
446824,1.49
447595,1.49
448366,1.48
449141,1.48
449912,1.48
450683,1.48
451454,1.48
452225,1.48
452996,1.48
453767,1.47
454538,1.47
455310,1.48
456081,1.47
456852,1.47
457626,1.47
458397,1.47
459168,1.47
459939,1.47
460710,1.47
461481,1.48
462252,1.48
463023,1.47
463794,1.47
464566,1.47
465337,1.47
466111,1.48
466882,1.48
467653,1.47
468424,1.47
469195,1.47
469966,1.47
470737,1.47
471508,1.47
472279,1.48
473050,1.48
473825,1.47
474596,1.48
475366,1.48
476137,1.48
476908,1.47
477680,1.47
478451,1.47
479222,1.48
479993,1.48
480764,1.49
481535,1.48
482310,1.47
483081,1.48
483852,1.48
484623,1.49
485394,1.49
486166,1.5
486937,1.5
487708,1.49
488479,1.5
489250,1.5
490021,1.51
490796,1.5
491567,1.51
492338,1.5
493109,1.51
493880,1.5
494652,1.51
495423,1.5
496194,1.52
496965,1.51
497736,1.51
498507,1.53
499282,1.53
500054,1.51
500825,1.53
501596,1.53
502367,1.52
503138,1.53
503909,1.52
504681,1.54
505452,1.54
506223,1.53
506994,1.53
507769,1.54
508540,1.54
509311,1.53
510082,1.53
510853,1.54
511624,1.53
512395,1.53
513167,1.52
513938,1.52
514709,1.53
515480,1.55
516255,1.56
517026,1.55
517797,1.56
518569,1.56
519340,1.57
520111,1.57
520882,1.56
521653,1.57
522424,1.56
523196,1.57
523967,1.56
524741,1.57
525512,1.56
526284,1.57
527055,1.57
527826,1.57
528597,1.56
529368,1.55
530139,1.53
530911,1.53
531682,1.53
532453,1.52
533228,1.52
533999,1.53
534770,1.53
535541,1.52
536312,1.52
537083,1.52
537854,1.52
538625,1.52
539396,1.52
540167,1.52
540938,1.52
541724,1.52
542497,1.52
543270,1.52
544042,1.52
544815,1.52
545588,1.52
546360,1.51
547133,1.51
547906,1.52
548679,1.52
549455,1.52
550228,1.52
551000,1.52
551773,1.52
552546,1.52
553319,1.52
554092,1.53
554865,1.52
555637,1.52
556410,1.52
557188,1.52
557964,1.51
558736,1.51
559509,1.51
560282,1.52
561055,1.52
561828,1.51
562600,1.52
563373,1.52
564146,1.51
564919,1.51
565692,1.51
566468,1.51
567241,1.51
568013,1.5
568786,1.51
569559,1.51
570332,1.51
571105,1.51
571878,1.51
572650,1.51
573423,1.5
574196,1.5
574972,1.51
575745,1.51
576518,1.5
577291,1.51
578063,1.5
578837,1.5
579609,1.5
580382,1.51
581155,1.51
581928,1.51
582700,1.5
583477,1.51
584250,1.5
585022,1.5
585795,1.5
586568,1.5
587341,1.5
588114,1.51
588887,1.5
589659,1.5
590432,1.5
591205,1.51
591981,1.5
592754,1.5
593527,1.51
594300,1.51
595073,1.5
595845,1.51
596618,1.5
597391,1.51
598164,1.51
598937,1.51
599709,1.5
600486,1.5
601259,1.51
602031,1.5
602804,1.5
603577,1.51
604349,1.51
605122,1.51
605895,1.51
606668,1.5
607440,1.51
608213,1.5
608989,1.5
609762,1.5
610535,1.5
611308,1.5
612080,1.5
612853,1.5
613626,1.5
614399,1.49
615172,1.5
615945,1.5
616717,1.5
617494,1.5
618266,1.49
619040,1.5
619813,1.5
620585,1.51
621358,1.5
622131,1.51
622904,1.51
623677,1.5
624450,1.51
625223,1.51
625999,1.51
626772,1.49
627545,1.5
628318,1.5
629091,1.5
629864,1.5
630637,1.5
631410,1.5
632183,1.5
632956,1.5
633732,1.49
634505,1.5
635278,1.5
636051,1.51
636824,1.51
637597,1.5
638370,1.51
639143,1.5
639916,1.5
640688,1.5
641462,1.5
642232,1.5
643005,1.5
643778,1.51
644551,1.5
645324,1.5
646097,1.5
646870,1.5
647643,1.5
648416,1.5
649188,1.51
649961,1.51
650738,1.52
651511,1.51
652284,1.5
653057,1.51
653830,1.5
654603,1.52
655376,1.51
656149,1.51
656921,1.51
657694,1.52
658467,1.51
659244,1.51
660017,1.51
660790,1.5
661563,1.51
662335,1.52
663108,1.52
663882,1.51
664654,1.51
665427,1.52
666200,1.51
666973,1.52
667750,1.51
668522,1.52
669295,1.52
670068,1.52
670841,1.51
671614,1.52
672387,1.52
673159,1.52
673932,1.52
674705,1.52
675478,1.52
676254,1.52
677027,1.53
677800,1.52
678573,1.52
679346,1.52
680119,1.52
680892,1.52
681665,1.52
682438,1.53
683211,1.52
683984,1.53
684760,1.52
685534,1.52
686307,1.53
687080,1.53
687853,1.52
688626,1.53
689399,1.53
690172,1.53
690945,1.53
691718,1.53
692491,1.52
693268,1.53
694041,1.54
694814,1.53
695587,1.53
696360,1.54
697133,1.52
697906,1.53
698679,1.53
699452,1.54
700225,1.54
700999,1.53
701775,1.53
702548,1.53
703321,1.53
704095,1.54
704868,1.53
705641,1.54
706414,1.53
707187,1.53
707960,1.53
708733,1.54
709510,1.53
710283,1.53
711056,1.53
711829,1.54
712602,1.52
713375,1.53
714148,1.54
714921,1.53
715694,1.53
716467,1.52
717240,1.53
718017,1.52
718790,1.53
719563,1.53
720336,1.53
721109,1.53
721883,1.53
722656,1.52
723429,1.53
724202,1.52
