time_ms,light_sensor
189,623
708,623
1228,623
1748,621
2268,623
2787,623
3307,632
3827,622
4347,625
4867,625
5387,623
5906,624
6431,622
6951,623
7471,620
7991,622
8511,624
9028,623
9545,623
10062,623
10579,623
11096,622
11613,622
12130,620
12651,623
13168,622
13685,628
14202,622
14719,623
15236,622
15753,623
16270,623
16787,623
17304,623
17821,624
18338,622
18859,622
19376,622
19893,623
20410,623
20927,623
21444,624
21961,623
22478,623
22995,623
23512,623
24029,623
24546,624
25067,623
25584,623
26101,623
26618,623
27135,622
27652,623
28169,624
28686,622
29203,623
29720,624
30237,623
30754,623
31275,623
31792,622
32309,622
32826,623
33343,623
33860,622
34377,622
34894,623
35411,623
35929,622
36446,622
36962,622
37483,622
38000,623
38517,623
39039,622
39556,622
40072,622
40589,623
41106,623
41623,621
42140,622
42657,620
43174,623
43695,623
44211,622
44729,626
45246,622
45762,622
46279,622
46796,623
47313,622
47830,623
48347,623
48864,623
49384,621
49901,623
50418,622
50935,622
51452,621
51969,622
52486,624
53003,623
53520,622
54038,621
54555,623
55072,622
55592,623
56109,623
56627,622
57144,623
57661,623
58178,622
58695,623
59212,620
59730,626
60247,623
60764,623
61281,623
61802,623
62319,623
62836,623
63353,621
63870,623
64388,623
64905,623
65422,623
65939,623
66456,623
66973,624
67491,623
68011,624
68529,623
69046,623
69563,622
70080,622
70597,622
71114,623
71632,623
72149,624
72666,623
73183,623
73700,622
74221,624
74738,624
75255,623
75772,623
76289,624
76806,623
77324,623
77841,624
78358,625
78875,623
79392,623
79909,623
80430,622
80948,624
81465,623
81982,623
82499,622
83016,623
83533,622
84051,624
84568,623
85085,625
85602,624
86119,622
86640,623
87157,623
87674,623
88191,624
88708,624
89225,623
89743,623
90260,624
90777,624
91294,624
91811,621
92328,623
92849,626
93366,623
93883,623
94400,622
94917,623
95435,623
95952,624
96469,623
96986,623
97503,623
98020,623
98537,623
99052,625
99569,625
100086,623
100603,624
101120,623
101638,622
102155,624
102672,623
103189,623
103706,623
104223,624
104744,624
105261,623
105779,623
106296,623
106813,623
107330,624
107848,624
108365,624
108882,623
109399,623
109917,622
110434,623
110955,623
111472,623
111989,622
112506,624
113024,623
113541,624
114058,622
114576,623
115093,624
115610,623
116127,623
116645,625
117165,624
117683,623
118200,623
118717,623
119234,623
119752,623
120269,625
120786,622
121303,623
121821,622
122338,624
122859,623
123376,624
123893,622
124410,624
124928,624
125445,623
125962,622
126480,623
126997,622
127514,623
128031,623
128549,623
129069,626
129587,623
130104,623
130621,623
131138,623
131656,623
132173,622
132690,624
133207,622
133725,623
134242,623
134759,623
135280,624
135797,623
136315,621
136832,622
137349,623
137866,622
138384,623
138901,623
139418,623
139935,623
140453,622
140974,624
141491,623
142008,623
142525,623
143042,623
143560,623
144077,622
144594,623
145111,624
145628,625
146145,623
146662,623
147183,624
147700,623
148217,623
148735,623
149252,623
149769,624
150286,624
150804,623
151321,620
151838,623
152356,623
152876,624
153394,624
153911,622
154428,622
154945,624
155463,623
155980,624
156498,623
157015,624
157532,624
158049,623
158567,625
159088,624
159605,623
160123,624
160640,622
161157,623
161675,623
162192,624
162709,623
163227,624
163744,624
164261,623
164779,624
165300,626
165817,625
166334,626
166851,627
167369,624
167886,624
