time,time_ms,load_g
2021-03-20 12:00:02,2147,-0.1
2021-03-20 12:00:02,3010,-0.22
2021-03-20 12:00:03,3809,-0.7
2021-03-20 12:00:04,4607,-0.92
2021-03-20 12:00:05,5405,-1.09
2021-03-20 12:00:01,1610,0.05
2021-03-20 12:00:02,2510,0.28
2021-03-20 12:00:03,3308,0.26
2021-03-20 12:00:03,4106,0.49
2021-03-20 12:00:04,4903,0.83
2021-03-20 12:00:05,5701,-0.22
2021-03-20 12:00:06,6499,-0.39
2021-03-20 12:00:07,7296,-1.05
2021-03-20 12:00:07,8094,-1.08
2021-03-20 12:00:08,8892,-1.15
2021-03-20 12:00:09,9690,-0.73
2021-03-20 12:00:10,10487,-1.02
2021-03-20 12:00:11,11285,-0.71
2021-03-20 12:00:11,12083,-0.64
2021-03-20 12:00:12,12880,-0.51
2021-03-20 12:00:13,13678,0.44
2021-03-20 12:00:14,14475,0.45
2021-03-20 12:00:15,15273,-0.03
2021-03-20 12:00:15,16070,0.11
2021-03-20 12:00:16,16868,0.04
2021-03-20 12:00:17,17665,-0.92
2021-03-20 12:00:18,18463,-0.74
2021-03-20 12:00:19,19261,-0.62
2021-03-20 12:00:19,20058,-0.86
2021-03-20 12:00:20,20856,-1.13
2021-03-20 12:00:21,21653,-2.36
2021-03-20 12:00:22,22450,-2.26
2021-03-20 12:00:23,23248,-0.41
2021-03-20 12:00:23,24045,-1.35
2021-03-20 12:00:24,24843,-1.81
2021-03-20 12:00:25,25640,-1.59
2021-03-20 12:00:26,26438,-2.89
2021-03-20 12:00:27,27235,-7.87
2021-03-20 12:00:27,28032,-8.42
2021-03-20 12:00:28,28830,-8.73
2021-03-20 12:00:29,29627,-9.79
2021-03-20 12:00:30,30424,-10.16
2021-03-20 12:00:31,31222,-10.17
2021-03-20 12:00:31,32019,-10.31
2021-03-20 12:00:32,32816,-9.68
2021-03-20 12:00:33,33614,-9.48
2021-03-20 12:00:34,34411,-9.61
2021-03-20 12:00:35,35208,-8.6
2021-03-20 12:00:35,36006,-8.56
2021-03-20 12:00:36,36803,-7.43
2021-03-20 12:00:37,37600,-9.49
2021-03-20 12:00:38,38398,-9.89
2021-03-20 12:00:39,39195,-10.2
2021-03-20 12:00:39,39992,-10.01
2021-03-20 12:00:40,40790,-10.15
2021-03-20 12:00:41,41587,-11.21
2021-03-20 12:00:42,42384,-10.75
2021-03-20 12:00:43,43182,-10.77
2021-03-20 12:00:43,43979,-10.56
2021-03-20 12:00:44,44777,-11.34
2021-03-20 12:00:45,45574,-10.67
2021-03-20 12:00:46,46371,-10.53
2021-03-20 12:00:47,47168,-9.98
2021-03-20 12:00:47,47966,-10.24
2021-03-20 12:00:48,48763,-10.86
2021-03-20 12:00:49,49561,-10.42
2021-03-20 12:00:50,50358,-10.14
2021-03-20 12:00:51,51156,-9.66
2021-03-20 12:00:51,51953,-9.05
2021-03-20 12:00:52,52750,-8.85
2021-03-20 12:00:53,53547,-8.61
2021-03-20 12:00:54,54345,-8.28
2021-03-20 12:00:55,55142,-8.53
2021-03-20 12:00:55,55939,-10.83
2021-03-20 12:00:56,56737,-13.08
2021-03-20 12:00:57,57534,-12.45
2021-03-20 12:00:58,58331,-12.41
2021-03-20 12:00:59,59129,-12.53
2021-03-20 12:00:59,59926,-12.19
2021-03-20 12:01:00,60723,-10.69
2021-03-20 12:01:01,61521,-10.71
2021-03-20 12:01:02,62318,-11.41
2021-03-20 12:01:02,63115,-11.24
2021-03-20 12:01:03,63912,-10.71
2021-03-20 12:01:04,64710,-11.37
2021-03-20 12:01:05,65507,-11.53
2021-03-20 12:01:06,66304,-11.22
2021-03-20 12:01:06,67102,-11.28
2021-03-20 12:01:07,67899,-11.61
2021-03-20 12:01:08,68696,-11.61
2021-03-20 12:01:09,69493,-11.27
2021-03-20 12:01:10,70290,-10.8
2021-03-20 12:01:10,71087,-11.55
2021-03-20 12:01:11,71884,-11.12
2021-03-20 12:01:12,72681,-12.19
2021-03-20 12:01:13,73478,-13.28
2021-03-20 12:01:14,74275,-9.64
2021-03-20 12:01:14,75072,-9.81
2021-03-20 12:01:15,75869,-9.16
2021-03-20 12:01:16,76667,-10.02
2021-03-20 12:01:17,77464,-10.12
2021-03-20 12:01:18,78261,-10.12
2021-03-20 12:01:18,79057,-9.56
2021-03-20 12:01:19,79854,-10.06
2021-03-20 12:01:20,80651,-9.44
2021-03-20 12:01:21,81448,-9.84
2021-03-20 12:01:22,82245,-10.29
2021-03-20 12:01:22,83042,-9.88
2021-03-20 12:01:23,83840,-9.9
2021-03-20 12:01:24,84637,-9.98
2021-03-20 12:01:25,85434,-10.01
2021-03-20 12:01:26,86231,-10.1
2021-03-20 12:01:26,87028,-10.22
2021-03-20 12:01:27,87825,-10.15
2021-03-20 12:01:28,88623,-10.18
2021-03-20 12:01:29,89420,-10.2
2021-03-20 12:01:30,90217,-10.4
2021-03-20 12:01:30,91014,-10.56
2021-03-20 12:01:31,91812,-10.42
2021-03-20 12:01:32,92609,-10.49
2021-03-20 12:01:33,93407,-10.58
2021-03-20 12:01:34,94205,-10.52
2021-03-20 12:01:34,95002,-10.51
2021-03-20 12:01:35,95800,-10.42
2021-03-20 12:01:36,96597,-10.38
2021-03-20 12:01:37,97395,-10.4
2021-03-20 12:01:38,98193,-10.58
2021-03-20 12:01:38,98990,-10.59
2021-03-20 12:01:39,99788,-10.6
2021-03-20 12:01:40,100586,-10.87
2021-03-20 12:01:41,101383,-10.41
2021-03-20 12:01:42,102181,-10.28
2021-03-20 12:01:42,102979,-10.49
2021-03-20 12:01:43,103777,-10.34
2021-03-20 12:01:44,104575,-10.47
2021-03-20 12:01:45,105373,-10.57
2021-03-20 12:01:46,106170,-10.36
2021-03-20 12:01:46,106968,-10.61
2021-03-20 12:01:47,107766,-10.55
2021-03-20 12:01:48,108564,-10.35
2021-03-20 12:01:49,109363,-10.38
2021-03-20 12:01:50,110161,-10.34
2021-03-20 12:01:50,110959,-9.98
2021-03-20 12:01:51,111757,-10.12
2021-03-20 12:01:52,112556,-10.36
2021-03-20 12:01:53,113354,-10.36
2021-03-20 12:01:54,114153,-10.31
2021-03-20 12:01:54,114951,-11.17
2021-03-20 12:01:55,115750,-9.95
2021-03-20 12:01:56,116548,-10.65
2021-03-20 12:01:57,117346,-10.98
2021-03-20 12:01:58,118145,-10.22
2021-03-20 12:01:58,118943,-9.02
2021-03-20 12:01:59,119741,-9.1
2021-03-20 12:02:00,120540,-9.18
2021-03-20 12:02:01,121338,-9.1
2021-03-20 12:02:02,122137,-9.21
2021-03-20 12:02:02,122935,-8.94
2021-03-20 12:02:03,123734,-9.06
2021-03-20 12:02:04,124533,-9.49
2021-03-20 12:02:05,125331,-9.65
2021-03-20 12:02:05,126130,-9.91
2021-03-20 12:02:06,126928,-10.04
2021-03-20 12:02:07,127727,-9.09
2021-03-20 12:02:08,128526,-9.01
2021-03-20 12:02:09,129325,-8.88
2021-03-20 12:02:09,130124,-8.76
2021-03-20 12:02:10,130923,-8.66
2021-03-20 12:02:11,131721,-8.54
2021-03-20 12:02:12,132520,-8.55
2021-03-20 12:02:13,133319,-8.58
2021-03-20 12:02:13,134118,-8.56
2021-03-20 12:02:14,134917,-8.51
2021-03-20 12:02:15,135716,-8.53
2021-03-20 12:02:16,136515,-8.44
2021-03-20 12:02:17,137314,-8.49
2021-03-20 12:02:17,138113,-8.55
