time,time_ms,mq9_sensor
1900-01-01 00:00:00,452,229.8
1900-01-01 00:00:01,1044,262.42
1900-01-01 00:00:01,1624,291.4
1900-01-01 00:00:02,2203,1.55
1900-01-01 00:00:02,2782,1.62
1900-01-01 00:00:03,3361,1.7
1900-01-01 00:00:04,3940,1.79
1900-01-01 00:00:04,4524,1.74
1900-01-01 00:00:05,5102,1.7
1900-01-01 00:00:05,5681,1.74
1900-01-01 00:00:06,6260,1.65
1900-01-01 00:00:06,6837,1.75
1900-01-01 00:00:07,7411,1.7
1900-01-01 00:00:08,7989,1.71
1900-01-01 00:00:08,8563,1.6
1900-01-01 00:00:09,9138,1.78
1900-01-01 00:00:09,9712,1.8
1900-01-01 00:00:10,10287,1.72
1900-01-01 00:00:10,10861,1.72
1900-01-01 00:00:11,11439,1.71
1900-01-01 00:00:12,12014,1.73
1900-01-01 00:00:12,12587,1.64
1900-01-01 00:00:13,13162,1.63
1900-01-01 00:00:13,13736,1.58
1900-01-01 00:00:14,14311,1.69
1900-01-01 00:00:14,14889,1.71
1900-01-01 00:00:15,15464,1.7
1900-01-01 00:00:16,16038,1.81
1900-01-01 00:00:16,16613,1.79
1900-01-01 00:00:17,17187,1.79
1900-01-01 00:00:17,17761,1.69
1900-01-01 00:00:18,18339,1.78
1900-01-01 00:00:18,18914,1.7
1900-01-01 00:00:19,19489,1.84
1900-01-01 00:00:20,20063,1.68
1900-01-01 00:00:20,20637,1.67
1900-01-01 00:00:21,21212,1.69
1900-01-01 00:00:21,21791,1.68
1900-01-01 00:00:22,22365,1.82
1900-01-01 00:00:23,22948,1.7
1900-01-01 00:00:23,23523,1.77
1900-01-01 00:00:24,24097,1.79
1900-01-01 00:00:24,24671,1.73
1900-01-01 00:00:25,25248,1.83
1900-01-01 00:00:25,25822,1.73
1900-01-01 00:00:26,26396,1.71
1900-01-01 00:00:27,26971,1.73
1900-01-01 00:00:27,27545,1.74
1900-01-01 00:00:28,28119,1.76
1900-01-01 00:00:28,28697,1.85
1900-01-01 00:00:29,29271,1.62
1900-01-01 00:00:29,29845,1.61
1900-01-01 00:00:30,30419,1.66
1900-01-01 00:00:31,30994,1.73
1900-01-01 00:00:31,31568,1.78
1900-01-01 00:00:32,32156,1.71
1900-01-01 00:00:32,32735,1.7
