time_ms,uv_sensor
167,62
998,61
1818,62
2639,61
3459,61
4280,54
5100,52
5921,61
6742,61
7567,61
8388,62
9208,62
10029,62
10850,59
11670,57
12491,55
13311,53
14129,57
14951,52
15768,51
16586,50
17404,47
18222,49
19039,53
19857,54
20675,51
21496,53
22314,58
23132,42
23950,39
24767,44
25585,46
26403,46
27220,48
28038,47
28860,49
29678,47
30495,49
31313,49
32131,60
32948,60
33766,57
34584,43
35405,46
36223,47
37041,47
37859,47
38676,48
39494,49
40312,49
41130,49
41947,49
42769,50
43587,54
44404,52
45222,51
46040,49
46857,43
47675,43
48493,42
49314,34
50132,39
50950,44
51767,48
52585,48
53403,49
54220,48
55038,48
55855,50
56677,53
57494,49
58311,42
59129,51
59946,54
60763,55
61581,53
62398,51
63215,52
64036,52
64853,51
65670,53
66488,54
67305,55
68123,55
68940,49
69757,42
70578,29
71396,28
72213,45
73030,49
73848,49
74665,43
75483,26
76300,27
77117,32
77938,42
78755,42
79573,42
80395,43
81212,43
82029,42
82846,43
83663,45
84484,44
85302,43
86119,43
86936,44
87754,45
88571,45
89389,44
90206,44
91023,44
91844,44
92661,45
93478,44
94296,45
95113,43
95931,33
96748,29
97565,27
98386,27
99204,26
100021,27
100838,28
101655,28
102473,27
103290,27
104108,27
104925,28
105746,29
106563,27
107380,28
108198,27
109015,28
109832,25
110649,36
111466,39
112287,38
113105,39
113922,39
114739,39
115556,38
116374,39
117191,39
118009,39
118829,39
119647,40
120464,41
121282,41
122099,41
122917,41
123734,42
124552,41
125369,41
126190,42
127008,41
127825,29
128643,27
129460,26
130277,25
131095,26
131913,26
132733,27
133551,25
134368,26
135186,27
136003,26
136821,26
137638,26
138456,28
139273,28
140094,39
140912,40
141729,42
142546,41
143364,42
144181,40
144999,41
145816,40
146637,41
147455,42
148272,43
149090,42
149907,41
150725,43
151542,43
152360,45
153180,42
153998,43
154816,42
155633,41
156450,41
157268,40
158085,43
158903,43
159721,41
160541,44
161359,43
162176,42
162993,42
163811,40
164628,41
165446,41
166263,34
167083,27
167901,29
168719,32
169536,30
170354,27
171171,27
171988,24
172806,25
173624,23
174445,25
175262,25
176080,25
176897,24
177715,24
178533,24
179350,23
180168,35
180989,39
181807,41
182624,42
183442,29
184259,26
185077,26
185894,26
186712,26
187533,26
188351,27
189168,25
189986,25
190804,25
191621,21
192439,11
193257,15
194074,24
194895,24
195713,22
196531,22
197348,22
198166,22
198983,20
199801,22
200619,16
201440,24
202257,11
203075,25
203892,25
204710,24
205528,24
206345,29
207163,36
207981,33
